author,date,time,favorites,hashtags,mentions,permalink,replies,retweets,term,text,tweet_id,username
25073877,23-04-2015,12:44:00,17,,@ @,https://twitter.com/realDonaldTrump/status/591281524043096064,11,11,realDonaldTrump,Via @ baltimoresun by @ ErinatTheSun: “Maryland GOP book Trump for major fundraiser”http://www.baltimoresun.com/news/maryland/politics/blog/bal-md-gop-book-trump-for-major-fundraiser-20150421-story.html …,_591281524043096064,realDonaldTrump
25073877,23-04-2015,11:50:00,21,,@ @,https://twitter.com/realDonaldTrump/status/591267841296506881,12,24,realDonaldTrump,Via @ thehill by @ HenschOnTheHill: “Trump says US roads are 'falling apart'”http://thehill.com/policy/transportation/239730-trump-says-us-roads-are-falling-apart …,_591267841296506881,realDonaldTrump
25073877,23-04-2015,11:08:00,102,,,https://twitter.com/realDonaldTrump/status/591257360653545472,30,45,realDonaldTrump,Excited to be travelling to New Hampshire on Monday. The Granite State is a model for the country. Live Free or Die!,_591257360653545472,realDonaldTrump
25073877,23-04-2015,10:53:00,34,,@ @,https://twitter.com/realDonaldTrump/status/591253642222706689,12,22,realDonaldTrump,"“Trump signs lease for a NH office, returns Monday” http://www.unionleader.com/apps/pbcs.dll/article?AID=/20150422/NEWS0605/150429687 … via @ UnionLeader by @ tuohy",_591253642222706689,realDonaldTrump
25073877,23-04-2015,10:04:00,33,,@,https://twitter.com/realDonaldTrump/status/591241289628254210,6,22,realDonaldTrump,". @ GeraldoRivera Thanks, my champion Geraldo--and very true.",_591241289628254210,realDonaldTrump
25073877,23-04-2015,09:37:00,11,#1,@ @ @TrumpToronto,https://twitter.com/realDonaldTrump/status/591234327696015361,6,13,realDonaldTrump,". @ ForbesInspector 5 Star & @ TripAdvisor #1 Luxury Hotel @TrumpToronto offers style, luxury & impeccable service http://www.trumphotelcollection.com/toronto/toronto-ontario-hotels.php …",_591234327696015361,realDonaldTrump
25073877,23-04-2015,09:13:00,42,,@AMOakabr,https://twitter.com/realDonaldTrump/status/591228318495674368,26,27,realDonaldTrump,"""@AMOakabr: DonaldTrump this country needs you to run... need to teach people what the American Dream is again! Ronald Reagan reincarnated!""",_591228318495674368,realDonaldTrump
25073877,23-04-2015,09:11:00,19,# #,@ @,https://twitter.com/realDonaldTrump/status/591227961690456065,8,14,realDonaldTrump,""" @ necprof: @ NewEngCollege is excited to host DonaldTrump for a town hall meeting on Monday at 3 pm. http://www.nec.edu/donald-trump-to-speak-at-new-england-college/ … # fitn # nhpolitics",_591227961690456065,realDonaldTrump
25073877,23-04-2015,09:08:00,31,#,@ @,https://twitter.com/realDonaldTrump/status/591227258855153664,11,13,realDonaldTrump,""" @ Antonio_Annesi: @ realDonaldTrump No doubt you would fix our country if you ran for president..do us all a favor please! # Trump2016""",_591227258855153664,realDonaldTrump
25073877,23-04-2015,09:08:00,14,,@ @,https://twitter.com/realDonaldTrump/status/591227205759410177,5,11,realDonaldTrump,""" @ rightjj: @ realDonaldTrump: I've to say that you're making sense in a lot of things especially on China! Nobody else dares to raise it!""",_591227205759410177,realDonaldTrump
25073877,23-04-2015,09:08:00,15,,@,https://twitter.com/realDonaldTrump/status/591227028671696897,12,10,realDonaldTrump,""" @ rightjj;: Should definitely include you in the polls! Why exclude someone with real life experiences in running things successfully?""",_591227028671696897,realDonaldTrump
25073877,23-04-2015,09:06:00,30,,@ @,https://twitter.com/realDonaldTrump/status/591226699142057984,4,11,realDonaldTrump,""" @ beauty_dhope: @ realDonaldTrump you would be phenomenal in office,I am truly a big fan of what you stand for."" Thank you.",_591226699142057984,realDonaldTrump
25073877,23-04-2015,09:05:00,36,#,@ @,https://twitter.com/realDonaldTrump/status/591226354680602624,10,16,realDonaldTrump,""" @ UsuallyBogey: Without @ realDonaldTrump we will be stuck with Hilary Clinton. # Trump2016"" I agree.",_591226354680602624,realDonaldTrump
25073877,23-04-2015,09:03:00,41,,@ @,https://twitter.com/realDonaldTrump/status/591225918712078336,8,15,realDonaldTrump,""" @ BigBrett45: @ realDonaldTrump Mr. Trump your the Man!! Please run we need you!!"" Watch.",_591225918712078336,realDonaldTrump
25073877,24-04-2015,18:12:00,61,#,,https://twitter.com/realDonaldTrump/status/591726417609662465,17,45,realDonaldTrump,# TrumpAdvice https://instagram.com/p/1374qSGhe8/,_591726417609662465,realDonaldTrump
25073877,24-04-2015,15:16:00,18,,@ @,https://twitter.com/realDonaldTrump/status/591682230470213632,10,13,realDonaldTrump,""" @ ccarlen @ realDonaldTrump get that Exploratory Committee to get some bumper stickers out to me!"" So nice, thank you.",_591682230470213632,realDonaldTrump
25073877,24-04-2015,14:36:00,61,,@,https://twitter.com/realDonaldTrump/status/591672094393532416,16,30,realDonaldTrump,Looking forward to giving keynote speech tonight @ ChesterfieldGOP Lincoln-Reagan dinner in Virginia.,_591672094393532416,realDonaldTrump
25073877,24-04-2015,13:44:00,34,,@,https://twitter.com/realDonaldTrump/status/591658905874386944,4,15,realDonaldTrump,"Congrats to great golfer @ Frostpga on his big win last week. Always been best putter. ""Frost Wins for Trump""",_591658905874386944,realDonaldTrump
25073877,24-04-2015,12:31:00,63,,@,https://twitter.com/realDonaldTrump/status/591640590619643904,13,40,realDonaldTrump,"A beautiful article by @ IvankaTrump on my newly opened golf course in NYC, Trump Links Ferry Point http://www.ivankatrump.com/trump-ferry-point/?cm_mmc=Twitter_Post-_-040715_trumpferrypoint-_-&utm_content=bufferc3a24&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer …",_591640590619643904,realDonaldTrump
25073877,24-04-2015,10:06:00,33,,@ @,https://twitter.com/realDonaldTrump/status/591604159528439808,7,12,realDonaldTrump,""" @ britanniagolf Love the proposed changes for Trump Turnberry's Ailsa Course @ realDonaldTrump"" Thanks. It will be fantastic!",_591604159528439808,realDonaldTrump
25073877,23-04-2015,23:13:00,137,,@ @,https://twitter.com/realDonaldTrump/status/591439763372118016,39,52,realDonaldTrump,""" @ FuturisticHub: @ realDonaldTrump DONALD TRUMP FOR PRESIDENT OF THE UNITED STATES! MAKE IT HAPPEN!""",_591439763372118016,realDonaldTrump
25073877,23-04-2015,23:13:00,33,,@ @,https://twitter.com/realDonaldTrump/status/591439697559298049,3,22,realDonaldTrump,""" @ thembazoko1: @ realDonaldTrump: get Commandant's Leadership Award from the U.S.Marines yesterday at The Waldorf Astoria - a great honor!",_591439697559298049,realDonaldTrump
25073877,23-04-2015,23:12:00,20,#,@ @,https://twitter.com/realDonaldTrump/status/591439508241002497,3,10,realDonaldTrump,""" @ ChadWeiske: @ realDonaldTrump # 4prez""",_591439508241002497,realDonaldTrump
25073877,23-04-2015,23:12:00,24,,@ @ @,https://twitter.com/realDonaldTrump/status/591439484744523776,3,9,realDonaldTrump,""" @ daveyhubb: @ realDonaldTrump @ la_loquita rescue our country…""",_591439484744523776,realDonaldTrump
25073877,23-04-2015,23:11:00,98,#,@ @,https://twitter.com/realDonaldTrump/status/591439411050651649,7,34,realDonaldTrump,""" @ dcfoodsafety: @ realDonaldTrump Your new DC hotel sign should say future hotel of our next president! # Trump2016 pic.twitter.com/1bd5DumTYM""",_591439411050651649,realDonaldTrump
25073877,23-04-2015,23:10:00,29,# # #,@ @ @,https://twitter.com/realDonaldTrump/status/591438998373068801,14,18,realDonaldTrump,""" @ rmutt_17: @ realDonaldTrump @ la_loquita All we need is TRUMP to fix the cuntry!! # trumpisawesome # trumpcard # capitalism""",_591438998373068801,realDonaldTrump
25073877,23-04-2015,23:08:00,31,#,@TheAlexanderW_,https://twitter.com/realDonaldTrump/status/591438496071548930,9,11,realDonaldTrump,"""@TheAlexanderW_:I think your sign would look just as good on the White House as it does on Trump Chicago. # Trump2016 https://twitter.com/TheAlexanderW_/status/591435142477979648/photo/1pic.twitter.com/aYxvbTTUKr",_591438496071548930,realDonaldTrump
25073877,23-04-2015,23:07:00,24,,@ @,https://twitter.com/realDonaldTrump/status/591438270418018304,3,16,realDonaldTrump,""" @ la_loquita: @ realDonaldTrump working hard daily, and waiting for when you announce that you're going to make a run to rescue our country!!",_591438270418018304,realDonaldTrump
25073877,23-04-2015,23:05:00,15,,@,https://twitter.com/realDonaldTrump/status/591437823191973888,3,8,realDonaldTrump,". @ johnhawkinsrwn Great speaking to you today, we will speak again soon.",_591437823191973888,realDonaldTrump
25073877,23-04-2015,21:44:00,44,#,@,https://twitter.com/realDonaldTrump/status/591417506637729793,6,20,realDonaldTrump,""" @ MaxMacGruder: The man who would've kept us right years ago, the man who will put us right in the future. The ONLY real choice. # Trump2016""",_591417506637729793,realDonaldTrump
25073877,23-04-2015,21:44:00,38,,@ @,https://twitter.com/realDonaldTrump/status/591417370784178176,7,13,realDonaldTrump,""" @ HargraveGlobal: The world needs a leader like @ realDonaldTrump !"" Thanks.",_591417370784178176,realDonaldTrump
25073877,23-04-2015,21:42:00,28,# # # #,@ @,https://twitter.com/realDonaldTrump/status/591416936891867138,4,13,realDonaldTrump,""" @ JeremyManning36: @ realDonaldTrump when do I get my # TrumpForPresident # Trump2016 # presskit # yardsigns"" Cute, stay tuned.",_591416936891867138,realDonaldTrump
25073877,23-04-2015,21:37:00,51,,@,https://twitter.com/realDonaldTrump/status/591415662767185920,10,29,realDonaldTrump,""" @ hansel_amarilla: “As long as you’re going to be thinking anyway, think big.” –Donald Trump, The Trump Organization President""",_591415662767185920,realDonaldTrump
25073877,23-04-2015,21:31:00,61,#,@ @,https://twitter.com/realDonaldTrump/status/591414023712858113,15,32,realDonaldTrump,""" @ BillyMoeder: @ realDonaldTrump is the only man who can get the job done in the Oval Office # Trump2016"" I agree, thanks.",_591414023712858113,realDonaldTrump
25073877,25-04-2015,11:43:00,38,,@,https://twitter.com/realDonaldTrump/status/591990917348913152,21,24,realDonaldTrump,""" @ artfIopz: Top 10 Celebrities Taking DC By Storm This Weekend:What do Donald Trump, model Chrissy Tiegen and Bradley Cooper have in common?",_591990917348913152,realDonaldTrump
25073877,25-04-2015,11:42:00,159,,@ @,https://twitter.com/realDonaldTrump/status/591990720292114433,62,48,realDonaldTrump,I will be interviewed by @ JudgeJeanine tonight on @ FoxNews - Enjoy!,_591990720292114433,realDonaldTrump
